'gater	g-eI-t-4^
abbey	ae-b-i
abby	ae-b-i
abode	^-b-oU-d
abort	4-b-c-r-t
abound	^-b-@U-n-d
abrupt	4-b-r-^-p-t
abusive	^-b-j-u-s-I-v
accessory	ae-k-s-E-s-3^-i
achieve	^-tsh-i-v
activity	ae-k-t-I-v-4-t-i
actually	ae-k-sh-4-l-i
adamant	ae-d-^-m-^-n-t
adapt	^-d-ae-p-t
adds	ae-d-z
ado	^-d-u
adopt	^-d-@-p-t
adrift	^-d-r-I-f-t
aeropostle	E-r-4-p-@-s-t-l
affect	^-f-E-k-t
aggress	^-g-r-E-s
aghast	^-g-ae-s-t
agua	@-g-w-4
ahh	@
aimed	eI-m-d
aji	eI-dzh-i
al	ae-l
alas	^-l-ae-s
alfred	ae-l-f-r-E-d
alley	ae-l-i
ally	ae-l-@I
alma	@-l-m-^
almond	@-m-^-n-d
alms	@-l-m-z
already	c-l-r-E-d-i
alright	c-l-r-@I-t
americas	4-m-E-r-I-k-4-z
aminal	ae-m-I-n-4-l
among	^-m-^-ng
amy	eI-m-i
ana	@-n-^
and	ae-n-d
andy	ae-n-d-i
anger	ae-ng-g-4^
angry	eI-ng-g-r-i
animate	ae-n-I-m-eI-t
anniversary	ae-n-I-v-3^-s-4-r-i
annoy	^-n-cI
annoyed	4-n-cI-d
antidepressant	ae-n-t-i-d-I-p-r-E-s-^-n-t
any	E-n-i
anybody	E-n-i-b-^-d-i
anyhow	E-n-i-h-@U
anymore	E-n-i-m-c-r
anyones	E-n-i-w-^-n-z
anything	E-n-i-th-I-ng
anyway	E-n-i-w-eI
anyways	E-n-i-w-eI-z
anywhere	E-n-i-w-E-r
apparently	4-p-E-r-4-n-t-l-i
applesauce	ae-p-4-l-s-c-s
area	E-r-i-^
armpits	@-r-m-p-I-t-s
army	@-r-m-i
arne	@-r-n
asses	ae-s-^-z
assess	^-s-E-s
assign	4-s-@I-n
assume	^-s-u-m
atlas	ae-t-l-^-s
atta	ae-t-4
attending	^-t-E-n-d-I-ng
attic	ae-t-I-k
attract	4-t-r-ae-k-t
attracts	4-t-r-ae-k-t-s
audrey	c-d-r-i
aun	c-n
auntie	     ae-n-t-i
aura	c-r-4
autobike	c-t-oU-b-@I-k
autobus	c-t-oU-b-^-s
autotill	c-t-oU-t-I-l
autum	c-t-4-m
avocado	@-v-^-k-@-d-oU
awry	^-r-@I
aww	c
ay	eI
aye	@I
ayy	eI
b	b-i
b'bye	b-^-b-@I
baa	b-@
babie	b-eI-b-i
babies	b-eI-b-i-z
baboons	b-ae-b-u-n-z
babysat	b-eI-b-i-s-ae-t
babysats	b-eI-b-i-s-ae-t-s
babysit	b-eI-b-i-s-I-t
babysitter	b-eI-b-i-s-I-t-4^
babysitting	b-eI-b-i-s-I-t-I-ng
bach	b-@-k
badly	b-ae-d-l-i
bagger	b-ae-g-4^
baggie	b-ae-g-i
bailey	b-eI-l-i
baja	b-@-h-@
bakery	b-eI-k-4^-i
baking	b-eI-k-I-ng
bala	b-@-l-^
balk	b-@-l-k
ballerina	b-ae-l-3^-i-n-^
ballpark	b-c-l-p-@-r-k
bandwed	b-ae-n-d-w-E-d
bane	b-eI-n
banked	b-ae-ng-k-t
baoony	b-4-U-n-i
barbeque	b-@-r-b-4-k-j-u
barbie	b-@-r-b-i
bard	b-@-r-d
barely	b-E-r-l-i
barker	b-@-r-k-3^
barney	b-@-r-n-i
barnyard	b-@-r-n-j-@-r-d
barrett	b-E-r-I-t
barry	b-E-r-i
basically	b-eI-s-I-k-l-i
bassoon	b-^-s-u-n
bate	b-eI-t
battery	b-ae-t-4^-i
bauf	b-c-f
bawk	b-c-k
bays	b-eI-z
beaded	b-i-d-I-d
beadie	b-i-d-i
beady	b-i-d-i
beaming	b-i-m-I-ng
beamy	b-i-m-i
beannie	b-i-n-i
beany	b-i-n-i
beary	b-E-r-i
beating	b-i-t-I-ng
beaty	b-i-t-i
beauty	b-j-u-t-i
bebe	b-E-b-eI
bebe's	b-E-b-eI-z
beedy	b-i-d-i
beenie	b-i-n-i
beeny	b-i-n-i
beetles	b-i-t-l-z
beg	b-E-g
belief	b-I-l-i-f
believe	b-I-l-i-v
believing	b-I-l-i-v-I-ng
belly	b-E-l-i
bellys	b-E-l-i-z
belong	b-I-l-c-ng
below	b-I-l-oU
bendable	b-E-n-d-4-b-l
bendy	b-E-n-d-i
benie	b-E-n-i
bennie	b-E-n-i
benny	b-E-n-i
bernie's	b-3^-n-i-z
berries	b-E-r-i-z
bertha	b-3^-th-^
beside	b-I-s-@I-d
besides	b-I-s-@I-d-z
betty	b-E-t-i
bi	b-@I
bias	b-@I-^-s
bibi's	b-i-b-i-z
biggy	b-I-g-i
bignette	b-E-n-j-eI
bikini	b-I-k-i-n-i
billiard	b-I-l-j-3^-d
billy	b-I-l-i
bind	b-@I-n-d
binge	b-I-n-dzh
bingy	b-I-ng-i
binky	b-I-ng-k-i
binny	b-I-n-i
birdie	b-3^-d-i
birdies	b-3^-d-i-z
bitch	b-I-tsh
bizarre	b-I-z-@-r
bli	b-l-i
blondie	b-l-@-n-d-i
bloody	b-l-^-d-i
blowers	b-l-oU-3^-z
blowing	b-l-oU-I-ng
blubby	b-l-^-b-i
blueberry	b-l-u-b-E-r-i
boa	b-oU-^
boathouse	b-oU-t-h-@U-s
bobblehead	b-@-b-l-h-E-d
bobby	b-@-b-i
body	b-@-d-i
boe	b-oU
boes	b-oU-z
bog	b-c-g
boggie	b-c-g-i
bold	b-oU-l-d
boldest	b-oU-l-d-I-s-t
boney	b-oU-n-i
bongo	b-@-ng-g-oU
bony	b-@-n-i
boob	b-u-b
booey	b-u-i
boogey	b-U-g-i
boogie	b-U-g-i
bookcase	b-U-k-k-eI-s
boony	b-u-n-i
boos	b-u-z
boost	b-u-s-t
booths	b-u-th-s
booty	b-u-d-i
bore	b-c-r
bosses	b-c-s-I-z
bot	b-@-t
bots	b-@-t-s
bough	b-@U
bound	b-@U-n-d
boundary	b-@U-n-d-r-i
bounded	b-@U-n-d-I-d
bowboy	b-@U-b-cI
bowel	b-@U-l
bowing	b-oU-I-ng
bowlette	b-@U-l-E-t
boyt	b-cI-t
bradley	b-r-ae-d-l-i
brady	b-r-eI-d-i
brag	b-r-ae-g
brainy	b-r-eI-n-i
brand	b-r-ae-n-d
bready	b-r-E-d-i
breaker	b-r-eI-k-3^
breakfasts	b-r-E-k-f-I-s-t-s
breaking	b-r-eI-k-I-ng
breakups	b-r-eI-k-^-p-s
briar	b-r-@I-3^
bro	b-r-oU
broccoli	b-r-@-k-4-l-i
bromide	b-r-oU-m-@I-d
broth	b-r-c-th
brow	b-r-@U
brownie	b-r-@U-n-i
brownies	b-r-@U-n-i-z
brows	b-r-@U-z
brushes	b-r-^-sh-I-z
brushing	b-r-^-sh-I-ng
bucharest	b-j-u-k-3^-E-s-t
bucky	b-^-k-i
buddie	b-^-d-i
buddies	b-^-d-i-z
buddy	b-^-d-i
budge	b-^-dzh
buggie	b-^-g-i
buhbye	b-4-b-@I
bulldoze	b-U-l-d-oU-z
bulletin	b-U-l-I-t-^-n
bully	b-U-l-i
bungie	b-^-n-dzh-i
bungy	b-^-ng-i
bunk	b-^-ng-k
bunt	b-^-n-t
buoy	b-u-i
burglars	b-3^-g-l-3^-z
burley	b-4^-l-i
burly	b-4^-l-i
burning	b-3^-n-I-ng
burritos	b-4-r-i-t-oU-z
burry	b-4^-r-i
burs	b-4^-z
bury	b-E-r-i
butcher	b-U-tsh-3^
butthead	b-^-t-dh-E-d
buttock	b-^-t-4-k
buttocks	b-^-t-4-k-s
c	s-i
cactus	k-ae-k-t-I-s
caddie	k-ae-d-i
caddy	k-ae-d-i
caffery	k-ae-f-4^-i
calculate	k-ae-l-k-j-4-l-eI-t
cali	k-ae-l-i
callaway	k-ae-l-4-w-eI
candy	k-ae-n-d-i
carcass	k-@-r-k-4-s
carefully	k-E-r-f-4-l-i
carly	k-@-r-l-i
carry	k-E-r-i
